LEMMA,WORDID,VALENCE,AROUSAL,EXPRESSED_MORAL,VALENCE_STD,AROUSAL_STD,EXPRESSED_MORAL_STD
indecent,65,3.6,5.8,2.8,2.75680975042,1.47572957475,2.52982212813
innocent,66,5.6,4.8,8.4,0.894427191,2.2803508502,0.894427191
integrity,67,5.6,4,7.8,0.894427191,1,1.30384048104
intemperate,68,4.71428571429,5,4.28571428571,0.951189731211,1,1.79947082168
lax,69,4.5,3.66666666667,2.66666666667,1.76068168617,1.8618986725,0.816496580928
limpid,70,5.25,5.625,4.5,0.707106781187,0.916125381313,0.755928946018
maiden,71,7.4,6,7.4,1.51657508881,3.16227766017,1.51657508881
modesty,72,4.33333333333,5,8.16666666667,2.06559111798,0.894427191,1.32916013583
obscene,73,3,4.2,1.4,1.58113883008,1.30384048104,0.547722557505
pervert,74,3.66666666667,5.16666666667,3.16666666667,2.42212028328,3.12516666222,3.0605010483
piety,75,4.28571428571,3.85714285714,7.42857142857,1.97604704012,2.47847879613,1.51185789204
pious,76,4.2,4.2,7,2.16794833887,2.58843582111,1.87082869339
preserve,77,5.33333333333,6,6.83333333333,2.58198889747,2.36643191324,1.60208197876
pristine,78,6.66666666667,4.5,7,1.9663841605,2.07364413533,3.16227766017
profanatory,79,5.71428571429,5.71428571429,4,1.60356745147,1.60356745147,2.58198889747
profanity,80,3.4,3.4,2.6,1.81659021246,1.51657508881,2.07364413533
profligate,81,3.57142857143,4.85714285714,2.85714285714,0.786795792469,1.34518541827,1.57359158494
promiscuous,82,4.85714285714,5.71428571429,3.14285714286,2.41029537807,2.62769136406,2.79455252402
prostitution,83,3.71428571429,5.57142857143,3.28571428571,1.79947082168,1.61834718743,2.36038737741
pure,84,7.14285714286,5.85714285714,9,1.77281052086,1.86445447147,0
pureblood,85,4.83333333333,6.5,7,2.99443929086,1.22474487139,1.788854382
purebred,86,5.16666666667,4.66666666667,6.5,0.752772652709,1.8618986725,1.76068168617
purity,87,7.11111111111,6.11111111111,7.11111111111,1.45296631451,3.10017920629,3.48010216964
refined,88,5.42857142857,5.28571428571,6.85714285714,1.13389341903,0.951189731211,1.46385010942
repulsive,89,3.71428571429,4.71428571429,2.42857142857,1.70433620649,1.88982236505,1.39727626201
ruin,90,4,5,2.75,1.85164019955,1.30930734142,2.1876275473
sacred,91,5.16666666667,3.83333333333,8.5,2.40138848724,1.60208197876,1.22474487139
sacredness,92,6.6,5,8.4,1.1401754251,1.58113883008,0.547722557505
saint,93,6.71428571429,3.42857142857,8.57142857143,1.70433620649,2.07019667803,0.786795792469
sainthood,94,6.85714285714,4.71428571429,8,1.34518541827,2.1380899353,1.91485421551
saintlike,95,6,3.16666666667,8.33333333333,1.26491106407,1.60208197876,1.63299316186
saintliness,96,6.85714285714,5.42857142857,8.14285714286,2.26778683806,2.76026223737,2.26778683806
sick,97,4,4.14285714286,2.71428571429,1.73205080757,1.46385010942,1.60356745147
sickening,98,3.125,4.5,2.25,1.80772153355,1.51185789204,1.38873014966
sin,99,3.8,5,2,2.16794833887,1.87082869339,2.2360679775
sinner,100,3.71428571429,5.85714285714,2.42857142857,2.1380899353,1.34518541827,1.51185789204
slut,101,3.875,4.5,2.75,2.23207142743,1.30930734142,2.65921578128
sluttish,102,3.83333333333,5.33333333333,1.33333333333,1.72240142437,1.50554530542,0.516397779494
stainable,103,5.83333333333,5.33333333333,5.16666666667,1.16904519445,1.63299316186,1.32916013583
stained,104,4.6,5,2.6,0.894427191,0.707106781187,1.1401754251
stainer,105,4.42857142857,5.71428571429,4.14285714286,1.39727626201,1.11269728053,2.34012616672
stainless,106,5.33333333333,5.66666666667,6.16666666667,0.516397779494,1.21106014164,2.63944438598
sterile,107,5,3.8,7.8,1.73205080757,1.30384048104,1.788854382
sterilisation,108,4.25,4.875,4.375,1.75254916377,0.834522960396,2.44584195261
tainted,109,2.6,5,2,2.07364413533,2.5495097568,2.2360679775
tarnish,110,4.33333333333,5.5,3.66666666667,2.50333111407,0.836660026534,1.9663841605
tramp,111,2.66666666667,4.16666666667,3,1.63299316186,1.47196014439,2.683281573
trashy,112,2.16666666667,3.83333333333,1.33333333333,1.60208197876,2.22860195339,0.516397779494
