WORD	ANNOTATOR_ID	RELEVANCE	VALENCE	AROUSAL	EXPRESSED_MORAL
annihilation	31BF666100C3A5BABAB95D40D7BFDE9D	1	1	9	1
empathetic	56A99CDD4FBB62AE258F430EE5128D73	1	7	5	7
fight	56A99CDD4FBB62AE258F430EE5128D73	1	4	7	2
sympathetic	FE5A1B7ABCEC1DD1028CE61AA6E08431	1	9	5	9
violent	31BF666100C3A5BABAB95D40D7BFDE9D	1	2	6	1
war	31BF666100C3A5BABAB95D40D7BFDE9D	1	1	9	1
damage	31BF666100C3A5BABAB95D40D7BFDE9D	1	1	8	1
compassion	31BF666100C3A5BABAB95D40D7BFDE9D	1	8	2	9
spurn	586EF5A47BD329D537DDB3E7D413A871	1	7	5	2
attack	586EF5A47BD329D537DDB3E7D413A871	1	3	5	4
wound	586EF5A47BD329D537DDB3E7D413A871	1	2	5	3
benefit	17B3FBC4AC55D595225F84535BE4F193	1	8	4	9
guard	8FB6081DC6ED196F4F98E7C49ABC5C19	1	5	4	7
killer	17B3FBC4AC55D595225F84535BE4F193	1	1	5	1
peaceable	586EF5A47BD329D537DDB3E7D413A871	1	6	4	7
protectionist	586EF5A47BD329D537DDB3E7D413A871	1	6	5	8
attack	17B3FBC4AC55D595225F84535BE4F193	1	2	8	1
impair	17B3FBC4AC55D595225F84535BE4F193	1	1	2	2
defendant	8FB6081DC6ED196F4F98E7C49ABC5C19	1	4	5	3
sympathetic	17B3FBC4AC55D595225F84535BE4F193	1	7	2	9
care	8FB6081DC6ED196F4F98E7C49ABC5C19	1	5	6	8
stomp	3878807D71C2653AB071D55EAE734844	1	5	6	3
ruin	3878807D71C2653AB071D55EAE734844	1	3	5	1
crush	8FB6081DC6ED196F4F98E7C49ABC5C19	1	4	6	2
impair	3878807D71C2653AB071D55EAE734844	1	3	5	1
hurt	8FB6081DC6ED196F4F98E7C49ABC5C19	1	2	7	3
safety	3878807D71C2653AB071D55EAE734844	1	6	4	9
ravage	3878807D71C2653AB071D55EAE734844	1	4	7	2
abandon	A7B9A613CF8F39A8815F6C2F66F0A6C4	1	1	6	1
safekeeping	A7B9A613CF8F39A8815F6C2F66F0A6C4	1	6	3	9
protection	3B421D473099DBDE85779319E217C1DD	1	8	7	7
shield	3B421D473099DBDE85779319E217C1DD	1	7	7	9
empathy	A7B9A613CF8F39A8815F6C2F66F0A6C4	1	7	5	9
crusher	3B421D473099DBDE85779319E217C1DD	1	3	3	2
empathetic	3B421D473099DBDE85779319E217C1DD	1	5	5	6
war	3B421D473099DBDE85779319E217C1DD	1	1	5	1
