WORD	ANNOTATOR_ID	RELEVANCE	VALENCE	AROUSAL	EXPRESSED_MORAL
churchgoing	D6F12FBD96E07B40FE03E40D4F91D0C8	1	4	5	5
churchgoing	ED6CD4280DDF769BDC7E11BCEDC67366	1	4	5	4
churchgoing	89BA7FECF021F5557FD8785B8947AB6B	1	1	4	9
churchman	476B18507C04D8F7F280E2AAF8E7FFB8	1	5	5	8
churchman	9CA2550B5F0B161DB7D466B1E481E8B7	1	6	5	7
churchman	328DA17593A61A80331F656D235924D7	1	8	1	9
churchman	9035EBF4A80815ABC88F291EB0F29C0D	1	5	5	6
churchman	1CE4D361B7E1437EEBF7EF4BC750E5FE	1	7	8	5
clean	9F11D5420A244BE16C9407E0EBC5B622	1	5	5	8
clean	B778FDC5991619C6D86F71BA87A95FE6	1	4	4	9
clean	F6D32999509E123447B7A586F53E4F13	1	9	1	9
clean	927C72C515189A6068C4C3A5180CEAED	1	5	5	6
clean	D259B7D84FDCB9B687B41AC0463CC8A4	1	7	8	5
clean	DE21C0E0EBA900C2C522DD2AB21EC6F1	1	9	7	9
cleaner	DA6AA13408B7C56BCF5D7BAD7FDBBFAA	1	5	3	7
cleaner	50F1D17435B53F4BE0F5D1F47C8D7826	1	5	5	8
cleaner	828644F1A00109DB859E9DD98663375B	1	5	5	7
cleaner	A1D4E5551D1C35454170A198274C66BB	1	9	3	9
cleaner	F6D32999509E123447B7A586F53E4F13	1	8	4	8
cleaner	FBA75F1BB5BC48743C59EBD9782B6659	1	8	7	6
cleanliness	BD7BAC8E9D7326073CAEE7890D821A5E	1	7	5	9
cleanliness	F6D1E29EE791C3C3AB10A6244F67718F	1	5	5	7
cleanliness	F15BBE2EC0C76ECDC79E67072AFA13AB	1	8	2	9
cleanliness	D259B7D84FDCB9B687B41AC0463CC8A4	1	5	5	4
cleanliness	D666A838B0049A29D46688C4BA6DE562	1	5	1	9
cleansing	382235231A1554D2CF102326A186B317	1	8	7	8
cleansing	ACDD6FA536A0E1CE6C65A3F5687F3BAC	1	8	8	9
cleansing	A1D4E5551D1C35454170A198274C66BB	1	8	2	8
cleansing	F6D1E29EE791C3C3AB10A6244F67718F	1	5	5	7
cleansing	E880D3B6BCC7E439CF9E61AB991C6FA1	1	7	7	8
cleanup	BD7BAC8E9D7326073CAEE7890D821A5E	1	5	5	5
cleanup	A1D4E5551D1C35454170A198274C66BB	1	9	7	9
cleanup	E880D3B6BCC7E439CF9E61AB991C6FA1	1	8	6	8
cleanup	167524568E2482B4FBE330252D2C245C	1	7	3	7
cleanup	89BA7FECF021F5557FD8785B8947AB6B	1	6	1	9
contagion	BD7BAC8E9D7326073CAEE7890D821A5E	1	5	5	5
contagion	BCC3FDECA7E357C86CE9B1AA10187BDF	1	5	5	2
contagion	9B283B91BED0593732408E71DCB958CC	1	2	7	2
contagion	FFAE76C0572CBFE2302F37419B438E35	1	4	1	3
contagion	A63FB58F58852B56E6A3CA1358BB371E	1	3	5	1
contagion	BD581F60AB9DCF0721CDE3376393F0A2	1	4	4	2
contagious	736E229C8F6AEB8A0B565E3282CD443C	1	4	4	4
contagious	BD7BAC8E9D7326073CAEE7890D821A5E	1	5	6	5
contagious	1FD1B2321B3108A445CB7AC2A1317AE8	1	6	7	4
contagious	E935E44C874CAA83E12C7E40BDF97DBD	1	3	6	3
contagious	F6D32999509E123447B7A586F53E4F13	1	2	5	2
contagious	9035EBF4A80815ABC88F291EB0F29C0D	1	5	5	3
contagious	12B3A16AD0AE1C8C6BDED1AB6445EE6E	1	1	1	2
debauchee	7EDBE0DF68F3ECE02C11A7C1C061D7D4	1	1	7	1
debauchee	A63FB58F58852B56E6A3CA1358BB371E	1	2	5	1
debauchee	579B910C4407BDC4D56E3AC08F416893	1	5	5	1
debauchee	71ACC03191C7ED446B89D9364466BF83	1	6	6	5
debauchee	0DEC82E7ADCD15A80B326F6C17B26156	1	6	4	5
debauchery	ACDD6FA536A0E1CE6C65A3F5687F3BAC	1	3	6	1
debauchery	BCC3FDECA7E357C86CE9B1AA10187BDF	1	5	6	5
debauchery	17B3FBC4AC55D595225F84535BE4F193	1	3	3	1
debauchery	12B3A16AD0AE1C8C6BDED1AB6445EE6E	1	3	3	1
debauchery	3CDD533C51DD875FFF5047BC36C8013C	1	5	5	3
decent	328DA17593A61A80331F656D235924D7	1	9	1	9
decent	CDF5C4F7BFE80238E37DF425E68DA37D	1	6	1	9
decent	BCC3FDECA7E357C86CE9B1AA10187BDF	1	5	6	5
decent	17B3FBC4AC55D595225F84535BE4F193	1	8	8	9
decent	F15BBE2EC0C76ECDC79E67072AFA13AB	1	8	3	8
decentalisation	B37B34AC8BF93F00749321C38A4FB311	1	5	6	5
decentalisation	E1AEB88F139FA203F79AF7DF687584F6	1	5	5	4
decentalisation	72210C9280BA0C3EAE088D6567D51EC2	1	4	2	6
decentalisation	0FBCF9E6E8EA2D758E4423A0AF949CAF	1	5	5	5
decentalisation	F97D7A4CB94ED478832ABF67B335C6AE	1	5	5	5
decentalisation	9CA5DC9F99D33A9100D33F0B1C3C88D9	1	5	5	5
decentalisation	0DEC82E7ADCD15A80B326F6C17B26156	1	4	6	5
depraved	9CA2550B5F0B161DB7D466B1E481E8B7	1	4	6	2
depraved	828644F1A00109DB859E9DD98663375B	1	5	5	5
depraved	4519A9BF578F30C8200843E521E6D0BA	1	5	5	2
depraved	6FDC176B32102D0FD3346891DB2B7CE8	1	5	5	5
depraved	E880D3B6BCC7E439CF9E61AB991C6FA1	1	2	3	2
depraved	D259B7D84FDCB9B687B41AC0463CC8A4	1	6	7	5
depraved	652003367F76973727FB50F81D808A43	1	2	7	1
desecration	E1AEB88F139FA203F79AF7DF687584F6	1	5	4	4
desecration	736E229C8F6AEB8A0B565E3282CD443C	1	1	5	1
desecration	3878807D71C2653AB071D55EAE734844	1	2	7	1
desecration	6FDC176B32102D0FD3346891DB2B7CE8	1	4	6	2
desecration	9ADD0ACCFEDEACE5717A3262B7BF41FB	1	5	5	2
desecration	F97D7A4CB94ED478832ABF67B335C6AE	1	3	5	2
dirt	7EDBE0DF68F3ECE02C11A7C1C061D7D4	1	5	5	5
dirt	ACDD6FA536A0E1CE6C65A3F5687F3BAC	1	5	5	3
dirt	328DA17593A61A80331F656D235924D7	1	1	5	1
dirt	27C3C833B6338C7705E1CEAD486656A9	1	1	4	1
dirt	CBCA895F2198D1F92E028E41EB07F425	1	5	3	4
dirt	04C039B9A01C0F3D6C8A28B3D88326FD	1	3	4	1
dirtily	7EDBE0DF68F3ECE02C11A7C1C061D7D4	1	1	6	1
dirtily	736E229C8F6AEB8A0B565E3282CD443C	1	3	5	3
dirtily	9F11D5420A244BE16C9407E0EBC5B622	1	5	5	2
dirtily	1FD1B2321B3108A445CB7AC2A1317AE8	1	6	5	4
dirtily	9035EBF4A80815ABC88F291EB0F29C0D	1	5	5	3
dirtily	1CE4D361B7E1437EEBF7EF4BC750E5FE	1	5	4	5
dirty	DA6AA13408B7C56BCF5D7BAD7FDBBFAA	1	4	2	2
dirty	B37B34AC8BF93F00749321C38A4FB311	1	5	5	3
dirty	72210C9280BA0C3EAE088D6567D51EC2	1	1	5	1
dirty	E935E44C874CAA83E12C7E40BDF97DBD	1	2	3	1
dirty	167524568E2482B4FBE330252D2C245C	1	3	5	3
dirty	D666A838B0049A29D46688C4BA6DE562	1	5	1	1
dirty	37D42C3085835AC2E88EC4549B7DD1E7	1	7	6	8
disease	84FEF9EC0F2118F514F459BC09442B44	1	2	3	3
disease	B37B34AC8BF93F00749321C38A4FB311	1	4	3	2
disease	9F11D5420A244BE16C9407E0EBC5B622	1	4	5	2
disease	A1D4E5551D1C35454170A198274C66BB	1	3	5	3
disease	652003367F76973727FB50F81D808A43	1	1	5	5
disgustingness	DA6AA13408B7C56BCF5D7BAD7FDBBFAA	1	5	3	2
disgustingness	E935E44C874CAA83E12C7E40BDF97DBD	1	2	3	1
disgustingness	27C3C833B6338C7705E1CEAD486656A9	1	2	3	5
disgustingness	F6D1E29EE791C3C3AB10A6244F67718F	1	4	5	2
disgustingness	F15BBE2EC0C76ECDC79E67072AFA13AB	1	3	3	2
disgustingness	89BA7FECF021F5557FD8785B8947AB6B	1	1	3	1
exploit	DA6AA13408B7C56BCF5D7BAD7FDBBFAA	1	5	5	5
exploit	3878807D71C2653AB071D55EAE734844	1	2	7	2
exploit	72210C9280BA0C3EAE088D6567D51EC2	1	1	7	1
exploit	9C2E01F223AE7768BC0D9843A50A88A5	1	3	3	4
exploit	FFAE76C0572CBFE2302F37419B438E35	1	4	3	4
exploitatory	BCC3FDECA7E357C86CE9B1AA10187BDF	1	5	6	5
exploitatory	E880D3B6BCC7E439CF9E61AB991C6FA1	1	2	3	2
