word,score,freq
institute,-5.545059569645673,4158
welfare,5.220681828912348,4157
speech,-5.194979224354029,4156
economics,5.34166450263001,4139
benefits,8.805232200305909,4129
short,2.3081716505112126,4126
center,-6.566604350315174,4109
lives,7.453142435406335,4107
wrong,5.201137079558976,4104
obama,-9.979746955214068,4103
nearly,-1.09999572718516,4102
international,-3.0794868163065985,4084
class,5.53577612247318,4079
ways,6.360562121961266,4075
hand,1.361225581262261,4066
financial,2.523551943944767,4062
became,-4.793678367394023,4049
liberal,-1.1094706074800342,4049
theory,10.433463165070862,4042
post,-9.710171468555927,4042
death,-4.0785287649487145,4038
poor,9.382714768871663,4036
trying,2.1702868447173387,4022
technology,8.103278282600513,4007
side,0.9925231733359396,4000
commission,-9.736684405477718,3997
argument,6.458683805773035,3985
seem,8.45404359512031,3978
policies,3.949548906646669,3972
regulation,5.788908902439289,3969
average,3.346720528264996,3964
getting,4.839306888403371,3960
jobs,5.4104609719943255,3959
space,3.0782153309555724,3945
taken,2.323826560867019,3941
despite,-0.4741388242691755,3935
began,-7.035893918480724,3930
reform,-3.380363437347114,3929
south,-3.669105448760092,3925
months,-5.730810729786754,3917
late,-9.92556025320664,3913
along,-1.4069672451587394,3897
competition,7.422510645119473,3894
line,-1.278900742647238,3883
went,-5.6871396453352645,3877
child,2.963340204791166,3874
energy,2.2601776181254536,3872
role,2.9622162596788257,3865
taking,3.8976259737974033,3861
similar,-1.3993454661685971,3859
inflation,5.564616422576364,3849
living,10.426541107473897,3844
upon,1.873237931256881,3838
someone,3.502345983288251,3838
bush,-10.885586237767711,3837
present,5.614774167537689,3817
single,2.23743033525534,3816
turn,4.493114873417653,3806
comes,1.4057573310565203,3804
markets,9.37647537048906,3804
citizens,2.400707133579999,3800
asked,-5.151945219840854,3795
everyone,6.414610365987755,3789
quite,8.50020639441209,3778
parents,2.815634256694466,3775
marijuana,-1.151693509425968,3774
insurance,3.898714191745967,3749
nature,11.065655991667882,3737
special,-0.3804476705845445,3735
libertarians,3.040248626843095,3707
capital,7.323538153723348,3705
reagan,-8.155765854637139,3701
majority,-3.4848066583508626,3689
area,3.842351986095309,3679
available,5.984461705666035,3676
popular,0.3335235988488421,3667
words,1.9927022920746824,3644
debate,-4.688509683706798,3611
longer,5.627987112908159,3606
central,2.433898489223793,3591
mean,9.422920735320076,3584
name,0.0574899974744766,3581
college,-1.7209274675697088,3579
judge,-7.196753115393221,3573
else,9.263877388089895,3573
film,0.4118446591310203,3572
consider,5.888552072108723,3563
george,-8.977439113194123,3558
mind,6.309352661250159,3558
regulations,2.7082635646220297,3552
terms,8.646611384057906,3552
face,3.386213558143936,3536
robert,-6.968118768418208,3528
claims,1.4835201671812683,3517
risk,9.874006118858231,3512
modern,6.789195295074023,3510
position,2.6332823577104136,3472
seen,4.807031186763197,3454
author,-1.4828865153540391,3454
street,-3.1670752726495266,3445
writes,1.5439351305831224,3444
paul,-10.236065263859928,3435
county,-9.279474400915204,3413
published,-5.149174952181056,3409
serious,5.275885694427416,3409
natural,9.394506311335135,3404
claim,6.320313185977284,3401
standard,6.037403324735351,3400
tell,3.611387336160988,3397
total,2.9401158187538385,3392
criminal,0.6817078986205161,3388
